批量上架报告 — 2026-08-08 16:51
新增商品：104 件 | 新建子分类：0 个 | 翻译：本地中文（待执行 translate_pending.py）
✅ Ami 黄格纹宽松短袖衬衫 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c219 | 价格=CNY 265.00
✅ Ami针织徽标衬衫 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c220 | 价格=CNY 300.00
✅ AS足球系列徽标球衣 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c221 | 价格=CNY 210.00
✅ BBR格纹马圆领短袖白色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c222 | 价格=CNY 205.00
✅ BBR格纹马圆领短袖黑色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c223 | 价格=CNY 205.00
✅ BBR爱心盾牌战马圆领短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c224 | 价格=CNY 205.00
✅ BBR爱心盾牌战马圆领短袖白色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c225 | 价格=CNY 205.00
✅ BBR爱心盾牌战马圆领短袖蓝色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c226 | 价格=CNY 205.00
✅ BBR羊毛格纹Polo衫 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c227 | 价格=CNY 240.00
✅ BBR羊毛格纹Polo衫蓝色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c228 | 价格=CNY 240.00
✅ BBR骑士刺绣翻领全拉链衬衫 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c229 | 价格=CNY 250.00
✅ Blcg NBA联名刺绣球服 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c230 | 价格=CNY 275.00
✅ Blcg NBA联名刺绣球服红色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c231 | 价格=CNY 275.00
✅ Blcg SKETCHY印花T恤 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c232 | 价格=CNY 190.00
✅ Blcg SKETCHY印花T恤黑色 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c233 | 价格=CNY 190.00
✅ Blcg七夕箭头圆领短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c234 | 价格=CNY 205.00
✅ Blcg侧条机能速干短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c235 | 价格=CNY 215.00
✅ Blcg康乃馨印花短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c236 | 价格=CNY 195.00
✅ Blcg提花圆领短袖T恤 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c237 | 价格=CNY 205.00
✅ Blcg泼漆绿色圆领短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c238 | 价格=CNY 240.00
✅ Blcg皇冠刺绣足球短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c239 | 价格=CNY 200.00
✅ Blcg箭头圆领短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c240 | 价格=CNY 205.00
✅ Blcg胶带印花圆领短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c241 | 价格=CNY 200.00
✅ Blcg胶带印花短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c242 | 价格=CNY 200.00
✅ CD字母刺绣圆领短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c243 | 价格=CNY 200.00
✅ CH十字架马蹄美国国旗短袖 | 分类=衣服 子分类=短袖 | 图片9张 | ID=c244 | 价格=CNY 230.00
